datetime,ticker,size,price
2024-07-26,243,8.282,0
2024-07-29,-243,8.407,0
2024-07-30,243,8.445,0
2024-07-31,-243,8.158,0
2024-08-01,-255,8.369,0
2024-08-02,255,8.445,0
2024-08-05,240,8.465,0
2024-08-06,-240,8.292,0
2024-08-07,-243,8.292,0
2024-08-08,243,8.378,0
2024-08-09,-236,8.378,0
2024-08-12,236,8.656,0
2024-08-13,234,8.714,0
2024-08-14,-234,8.848,0
2024-08-15,-232,8.982,0
2024-08-16,232,8.915,0
2024-08-19,-236,9.232,0
2024-08-20,236,9.251,0
2024-08-21,101,11.165,1
2024-08-22,-101,10.887,1
2024-08-23,-234,9.26,0
2024-08-26,234,9.241,0
2024-08-27,-227,9.27,0
2024-08-28,227,9.193,0
2024-08-29,-227,9.011,0
2024-08-30,227,8.704,0
2024-09-02,237,9.011,0
2024-09-03,-237,8.915,0
2024-09-04,95,11.531,1
2024-09-05,-95,11.58,1
2024-09-06,-94,11.244,1
2024-09-09,94,11.095,1
2024-09-10,-229,8.954,0
2024-09-11,229,8.656,0
2024-09-12,-232,8.714,0
2024-09-13,232,8.896,0
2024-09-18,226,9.299,0
2024-09-19,-226,8.58,0
2024-09-20,100,10.412,1
2024-09-23,-100,10.561,1
2024-09-24,94,11.462,1
2024-09-25,-94,11.65,1
2024-09-26,216,8.551,0
2024-09-27,-216,8.388,0
2024-09-30,-76,14.797,1
2024-10-08,76,16.262,1
2024-10-09,-152,8.043,0
2024-10-10,152,8.273,0
2024-10-11,173,8.215,0
2024-10-14,-173,8.426,0
2024-10-15,157,8.254,0
2024-10-16,-157,8.455,0
2024-10-17,159,8.273,0
2024-10-18,-159,8.321,0
2024-10-21,66,14.084,1
2024-10-22,-66,14.738,1
2024-10-23,-68,14.886,1
2024-10-24,68,14.362,1
2024-10-25,-163,8.436,0
2024-10-28,163,8.369,0
2024-10-29,-162,8.359,0
2024-10-30,162,8.35,0
2024-10-31,157,8.235,0
2024-11-01,-157,8.56,0
2024-11-04,156,8.704,0
2024-11-05,-156,8.637,0
2024-11-06,-159,8.618,0
2024-11-07,159,8.704,0
2024-11-08,-162,8.714,0
2024-11-11,162,8.608,0
2024-11-12,-168,8.493,0
2024-11-13,168,8.484,0
2024-11-14,154,8.522,0
2024-11-15,-154,8.867,0
2024-11-18,-74,17.935,1
2024-11-19,74,18.796,1
2024-11-20,-176,8.982,0
2024-11-21,176,9.03,0
2024-11-22,-162,8.829,0
2024-11-25,162,8.743,0
2024-11-26,161,8.752,0
2024-11-27,-161,8.838,0
2024-11-28,162,8.867,0
2024-11-29,-162,8.829,0
2024-12-02,162,8.656,0
2024-12-03,-162,8.781,0
2024-12-04,69,18.538,1
2024-12-05,-69,18.627,1
2024-12-06,72,18.954,1
2024-12-09,-72,18.439,1
2024-12-10,-151,9.385,0
2024-12-11,151,9.069,0
2024-12-12,-173,9.021,0
2024-12-13,173,9.021,0
2024-12-16,153,9.5,0
2024-12-17,-153,9.442,0
