datetime,ticker,size,price
2025-01-23,-2,9.529,0
2025-01-24,-1,9.423,0
2025-01-27,3,9.672,0
2025-02-05,-3,9.442,0
2025-02-06,3,9.251,0
2025-02-07,2,9.232,0
2025-02-10,-2,9.212,0
2025-02-11,1,15.054,1
2025-02-12,-2,9.251,0
2025-02-13,1,9.193,0
2025-02-14,-2,1.657,3
2025-02-17,1,15.559,1
2025-02-18,-4,9.96,0
2025-02-19,-1,15.995,1
2025-02-20,2,9.845,0
2025-02-21,3,9.759,0
2025-02-24,2,1.657,3
2025-02-25,-2,9.701,0
2025-02-26,2,1.676,3
2025-02-27,2,9.768,0
2025-02-28,-4,9.759,0
2025-03-03,-2,1.638,3
2025-03-04,3,9.74,0
2025-03-05,-2,9.663,0
2025-03-06,2,9.49,0
2025-03-07,2,9.385,0
2025-03-10,-2,9.337,0
2025-03-11,-1,9.299,0
2025-03-12,1,1.608,3
2025-03-13,1,17.915,1
2025-03-14,-2,17.974,1
2025-03-17,2,9.26,0
2025-03-18,-1,9.241,0
2025-03-19,-1,9.375,0
2025-03-20,-2,9.327,0
2025-03-21,1,9.615,0
2025-03-24,-4,9.672,0
2025-03-25,4,9.72,0
2025-03-26,-6,1.628,3
2025-03-27,-2,9.97,0
2025-03-28,2,10.161,0
2025-03-31,-2,10.219,0
2025-04-01,1,10.296,0
2025-04-02,-4,1.579,3
2025-04-03,4,9.979,0
2025-04-07,-2,9.864,0
2025-04-08,-6,10.075,0
2025-04-09,6,10.2,0
2025-04-10,-1,16.212,1
2025-04-11,3,9.855,0
2025-04-14,4,1.521,3
2025-04-15,-1,9.864,0
2025-04-16,-1,10.027,0
2025-04-17,-2,9.96,0
2025-04-18,2,9.931,0
2025-04-21,2,1.531,3
2025-04-22,-1,17.083,1
2025-04-23,3,17.46,1
2025-04-24,-1,9.893,0
2025-04-25,1,10.046,0
2025-04-28,-2,10.238,0
2025-04-29,1,16.846,1
2025-04-30,-1,16.638,1
2025-05-06,3,1.512,3
2025-05-07,2,10.286,0
2025-05-08,1,10.353,0
2025-05-09,-1,10.487,0
2025-05-12,-1,10.363,0
2025-05-13,2,10.363,0
2025-05-14,-1,10.257,0
2025-05-15,1,10.411,0
2025-05-16,-4,10.372,0
2025-05-19,2,10.42,0
2025-05-20,-3,1.521,3
2025-05-21,5,1.521,3
2025-05-22,-1,1.512,3
2025-05-23,-1,10.612,0
2025-05-26,1,10.583,0
2025-05-27,1,15.945,1
2025-05-28,26,6.994,4
2025-05-29,-1,10.794,0
2025-05-30,1,10.967,0
2025-06-03,-1,10.737,0
2025-06-04,4,10.756,0
2025-06-05,-2,10.756,0
2025-06-06,1,1.512,3
2025-06-09,-1,1.512,3
2025-06-10,1,10.535,0
2025-06-11,-1,10.65,0
2025-06-12,-1,10.689,0
2025-06-13,3,7.663,4
2025-06-16,-1,10.526,0
2025-06-17,4,10.497,0
2025-06-18,-2,10.574,0
2025-06-19,-1,10.631,0
2025-06-20,-1,1.434,3
2025-06-23,-2,1.444,3
2025-06-24,1,10.439,0
2025-06-25,-1,18.81,1
2025-06-26,-1,281.154,2
2025-06-27,-1,10.228,0
2025-06-30,1,10.219,0
